time,t2m,skt,sp,cvh,siconc,number,latitude,longitude,expver,ssr,t2m_c,skt_c
1979-09-01 00:00:00,222.78214,220.8755,68242.56,0.0,,0,-90.0,335.25,0001,,-50.36786,-52.27449
1979-09-01 06:00:00,,,,,,0,-90.0,335.25,,49469.863,,
1979-10-01 00:00:00,225.6515,223.99725,68033.15,0.0,,0,-90.0,335.25,0001,,-47.49849,-49.15274
1979-10-01 06:00:00,,,,,,0,-90.0,335.25,,1828352.0,,
1979-11-01 00:00:00,236.69023,235.45212,68981.11,0.0,,0,-90.0,335.25,0001,,-36.459763,-37.697876
1979-11-01 06:00:00,,,,,,0,-90.0,335.25,,4768768.0,,
1979-12-01 00:00:00,243.88953,243.19658,69445.375,0.0,,0,-90.0,335.25,0001,,-29.260468,-29.953415
1979-12-01 06:00:00,,,,,,0,-90.0,335.25,,6250496.0,,
1980-01-01 00:00:00,243.40164,242.27657,69395.41,0.0,,0,-90.0,335.25,0001,,-29.748352,-30.873428
1980-01-01 06:00:00,,,,,,0,-90.0,335.25,,5707264.0,,
1980-02-01 00:00:00,234.2808,233.00154,69253.55,0.0,,0,-90.0,335.25,0001,,-38.869186,-40.148453
1980-02-01 06:00:00,,,,,,0,-90.0,335.25,,3107840.0,,
1980-03-01 00:00:00,226.17795,223.77171,68867.62,0.0,,0,-90.0,335.25,0001,,-46.972046,-49.37828
1980-03-01 06:00:00,,,,,,0,-90.0,335.25,,445911.7,,
1980-04-01 00:00:00,221.3479,218.88329,68968.83,0.0,,0,-90.0,335.25,0001,,-51.802094,-54.26671
1980-04-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1980-05-01 00:00:00,221.66734,219.36746,68720.53,0.0,,0,-90.0,335.25,0001,,-51.48265,-53.78253
1980-05-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1980-06-01 00:00:00,220.48274,218.70717,68213.86,0.0,,0,-90.0,335.25,0001,,-52.66725,-54.442825
1980-06-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1980-07-01 00:00:00,220.21733,217.40646,68645.99,0.0,,0,-90.0,335.25,0001,,-52.932663,-55.74353
1980-07-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1980-08-01 00:00:00,217.65794,214.74966,68609.95,0.0,,0,-90.0,335.25,0001,,-55.49205,-58.40033
1980-08-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1980-09-01 00:00:00,219.13945,216.82687,68554.16,0.0,,0,-90.0,335.25,0001,,-54.010544,-56.32312
1980-09-01 06:00:00,,,,,,0,-90.0,335.25,,58931.195,,
1980-10-01 00:00:00,226.50049,225.2455,68081.77,0.0,,0,-90.0,335.25,0001,,-46.649506,-47.904495
1980-10-01 06:00:00,,,,,,0,-90.0,335.25,,1839616.0,,
1980-11-01 00:00:00,239.14691,238.24269,69367.14,0.0,,0,-90.0,335.25,0001,,-34.003082,-34.907303
1980-11-01 06:00:00,,,,,,0,-90.0,335.25,,4590080.0,,
1980-12-01 00:00:00,243.29791,242.7259,69306.93,0.0,,0,-90.0,335.25,0001,,-29.852081,-30.424088
1980-12-01 06:00:00,,,,,,0,-90.0,335.25,,6234624.0,,
1981-01-01 00:00:00,245.25589,244.56496,69302.42,0.0,,0,-90.0,335.25,0001,,-27.894104,-28.585037
1981-01-01 06:00:00,,,,,,0,-90.0,335.25,,5260288.0,,
1981-02-01 00:00:00,235.68684,234.43253,69032.25,0.0,,0,-90.0,335.25,0001,,-37.46315,-38.71747
1981-02-01 06:00:00,,,,,,0,-90.0,335.25,,3059200.0,,
1981-03-01 00:00:00,226.18594,224.05115,69313.45,0.0,,0,-90.0,335.25,0001,,-46.96405,-49.098846
1981-03-01 06:00:00,,,,,,0,-90.0,335.25,,481208.7,,
1981-04-01 00:00:00,222.30273,219.55542,68458.91,0.0,,0,-90.0,335.25,0001,,-50.84726,-53.594574
1981-04-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1981-05-01 00:00:00,225.3319,223.94835,68697.36,0.0,,0,-90.0,335.25,0001,,-47.8181,-49.201645
1981-05-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1981-06-01 00:00:00,221.78053,220.12619,68352.03,0.0,,0,-90.0,335.25,0001,,-51.36946,-53.023804
1981-06-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1981-07-01 00:00:00,223.57516,221.3308,68834.2,0.0,,0,-90.0,335.25,0001,,-49.57483,-51.8192
1981-07-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1981-08-01 00:00:00,224.7367,222.54022,69056.81,0.0,,0,-90.0,335.25,0001,,-48.4133,-50.60977
1981-08-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1981-09-01 00:00:00,218.44664,215.66388,67907.83,0.0,,0,-90.0,335.25,0001,,-54.703354,-57.486115
1981-09-01 06:00:00,,,,,,0,-90.0,335.25,,80308.0,,
1981-10-01 00:00:00,221.37476,219.1851,68135.484,0.0,,0,-90.0,335.25,0001,,-51.775238,-53.96489
1981-10-01 06:00:00,,,,,,0,-90.0,335.25,,2103808.0,,
1981-11-01 00:00:00,234.71686,233.50923,68334.85,0.0,,0,-90.0,335.25,0001,,-38.433136,-39.640762
1981-11-01 06:00:00,,,,,,0,-90.0,335.25,,4922880.0,,
1981-12-01 00:00:00,244.18193,243.46521,68745.05,0.0,,0,-90.0,335.25,0001,,-28.968063,-29.684784
1981-12-01 06:00:00,,,,,,0,-90.0,335.25,,6173696.0,,
1982-01-01 00:00:00,243.688,242.61592,69568.875,0.0,,0,-90.0,335.25,0001,,-29.46199,-30.534073
1982-01-01 06:00:00,,,,,,0,-90.0,335.25,,5612032.0,,
1982-02-01 00:00:00,235.07713,233.43845,68943.06,0.0,,0,-90.0,335.25,0001,,-38.07286,-39.711548
1982-02-01 06:00:00,,,,,,0,-90.0,335.25,,3179520.0,,
1982-03-01 00:00:00,225.20068,223.85393,67970.64,0.0,,0,-90.0,335.25,0001,,-47.94931,-49.296066
1982-03-01 06:00:00,,,,,,0,-90.0,335.25,,438970.62,,
1982-04-01 00:00:00,225.78883,223.81473,68158.56,0.0,,0,-90.0,335.25,0001,,-47.36116,-49.335266
1982-04-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1982-05-01 00:00:00,224.23497,222.02846,68185.09,0.0,,0,-90.0,335.25,0001,,-48.915024,-51.121536
1982-05-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1982-06-01 00:00:00,220.45874,218.79364,67865.94,0.0,,0,-90.0,335.25,0001,,-52.691254,-54.356354
1982-06-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1982-07-01 00:00:00,222.10342,219.6295,68488.09,0.0,,0,-90.0,335.25,0001,,-51.04657,-53.520493
1982-07-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1982-08-01 00:00:00,218.90213,216.75497,67907.96,0.0,,0,-90.0,335.25,0001,,-54.247864,-56.39502
1982-08-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1982-09-01 00:00:00,218.30434,216.03018,67668.58,0.0,,0,-90.0,335.25,0001,,-54.845657,-57.119812
1982-09-01 06:00:00,,,,,,0,-90.0,335.25,,50940.582,,
1982-10-01 00:00:00,229.27597,227.77887,68309.76,0.0,,0,-90.0,335.25,0001,,-43.874023,-45.371124
1982-10-01 06:00:00,,,,,,0,-90.0,335.25,,1723904.0,,
1982-11-01 00:00:00,239.8926,238.7021,69336.39,0.0,,0,-90.0,335.25,0001,,-33.2574,-34.44789
1982-11-01 06:00:00,,,,,,0,-90.0,335.25,,4900352.0,,
1982-12-01 00:00:00,245.39165,244.62587,70016.984,0.0,,0,-90.0,335.25,0001,,-27.758347,-28.524124
1982-12-01 06:00:00,,,,,,0,-90.0,335.25,,6193664.0,,
1983-01-01 00:00:00,245.01595,244.50575,69633.65,0.0,,0,-90.0,335.25,0001,,-28.134048,-28.644241
1983-01-01 06:00:00,,,,,,0,-90.0,335.25,,5266944.0,,
1983-02-01 00:00:00,234.6415,233.23352,69206.49,0.0,,0,-90.0,335.25,0001,,-38.5085,-39.916473
1983-02-01 06:00:00,,,,,,0,-90.0,335.25,,3051520.0,,
1983-03-01 00:00:00,225.58875,223.52484,68816.83,0.0,,0,-90.0,335.25,0001,,-47.56125,-49.625153
1983-03-01 06:00:00,,,,,,0,-90.0,335.25,,483225.12,,
1983-04-01 00:00:00,223.38055,221.19534,68846.53,0.0,,0,-90.0,335.25,0001,,-49.76944,-51.95465
1983-04-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1983-05-01 00:00:00,222.73497,220.5014,69286.68,0.0,,0,-90.0,335.25,0001,,-50.415024,-52.64859
1983-05-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1983-06-01 00:00:00,219.1412,216.65842,68362.16,0.0,,0,-90.0,335.25,0001,,-54.00879,-56.491577
1983-06-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1983-07-01 00:00:00,218.39453,216.5431,67837.336,0.0,,0,-90.0,335.25,0001,,-54.755463,-56.606888
1983-07-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1983-08-01 00:00:00,221.72867,219.36688,68148.78,0.0,,0,-90.0,335.25,0001,,-51.421326,-53.78311
1983-08-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1983-09-01 00:00:00,220.97263,218.67793,67991.89,0.0,,0,-90.0,335.25,0001,,-52.17737,-54.47206
1983-09-01 06:00:00,,,,,,0,-90.0,335.25,,59610.023,,
1983-10-01 00:00:00,226.25679,224.8138,67826.16,0.0,,0,-90.0,335.25,0001,,-46.893204,-48.336197
1983-10-01 06:00:00,,,,,,0,-90.0,335.25,,1940992.0,,
1983-11-01 00:00:00,235.27866,234.89993,68145.28,0.0,,0,-90.0,335.25,0001,,-37.871338,-38.25006
1983-11-01 06:00:00,,,,,,0,-90.0,335.25,,4417536.0,,
1983-12-01 00:00:00,242.11629,241.19522,69157.516,0.0,,0,-90.0,335.25,0001,,-31.033707,-31.954773
1983-12-01 06:00:00,,,,,,0,-90.0,335.25,,6439424.0,,
1984-01-01 00:00:00,245.05217,244.13773,69881.91,0.0,,0,-90.0,335.25,0001,,-28.097824,-29.012268
1984-01-01 06:00:00,,,,,,0,-90.0,335.25,,5473280.0,,
1984-02-01 00:00:00,238.15327,237.63683,69124.49,0.0,,0,-90.0,335.25,0001,,-34.99672,-35.51317
1984-02-01 06:00:00,,,,,,0,-90.0,335.25,,2701312.0,,
1984-03-01 00:00:00,228.06125,226.02527,68623.8,0.0,,0,-90.0,335.25,0001,,-45.088745,-47.124725
1984-03-01 06:00:00,,,,,,0,-90.0,335.25,,388971.5,,
